"ID"	"AFF"	"AGE"	"SEX"	"MODE"	"lat"	"lon"
276	"Student"	20	"Female"	"PT"	38.76981	-9.098343
187	"Student"	24	"Male"	"PT"	38.75355	-9.205264
507	"Student"	18	"Male"	"Walk"	38.73105	-9.140721
639	"Student"	23	"Female"	"PT"	38.78134	-9.09568
1252	"Student"	21	"Male"	"Walk"	38.7353	-9.144116
810	"Faculty"	66	"Male"	"Car"	38.76123	-9.179284
1005	"Student"	17	"Male"	"PT"	38.74267	-9.201854
944	"Faculty"	66	"Male"	"Car"	38.7537	-9.208262
108	"Student"	19	"Male"	"PT"	38.74233	-9.158404
1583	"Student"	25	"Male"	"PT"	38.74506	-9.15773
912	"Student"	32	"Male"	"Walk"	38.73601	-9.147183
549	"Student"	37	"Female"	"PT"	38.75154	-9.167092
489	"Faculty"	45	"Female"	"Car"	38.74254	-9.131415
875	"Staff"	54	"Female"	"Car"	38.74366	-9.136714
1310	"Staff"	30	"Male"	"Walk"	38.73752	-9.124598
1513	"Student"	24	"Male"	"PT"	38.75393	-9.172412
436	"Faculty"	26	"Female"	"Car"	38.7391	-9.120306
384	"Student"	29	"Male"	"PT"	38.70923	-9.201584
1197	"Faculty"	42	"Female"	"Car"	38.74893	-9.141832
302	"Student"	23	"Female"	"Car"	38.77986	-9.097409
111	"Student"	40	"Female"	"Walk"	38.73412	-9.139492
962	"Student"	19	"Male"	"Walk"	38.74024	-9.131551
454	"Staff"	26	"Male"	"Walk"	38.74902	-9.137071
1338	"Student"	27	"Male"	"Walk"	38.72186	-9.145147
183	"Faculty"	54	"Female"	"Car"	38.75681	-9.095906
680	"Student"	23	"Female"	"Walk"	38.73253	-9.129529
1261	"Faculty"	37	"Male"	"PT"	38.74869	-9.118698
206	"Staff"	45	"Female"	"PT"	38.72658	-9.118329
670	"Student"	31	"Male"	"Walk"	38.7304	-9.125098
1015	"Student"	26	"Male"	"PT"	38.7451	-9.202969
1624	"Student"	18	"Female"	"PT"	38.76139	-9.173773
631	"Student"	19	"Female"	"PT"	38.77108	-9.121681
994	"Student"	18	"Female"	"PT"	38.72256	-9.152727
1004	"Student"	23	"Male"	"PT"	38.69759	-9.192979
388	"Student"	19	"Female"	"PT"	38.75577	-9.13401
397	"Student"	26	"Female"	"PT"	38.75468	-9.179601
881	"Student"	19	"Male"	"PT"	38.76482	-9.15387
56	"Staff"	39	"Female"	"Walk"	38.7301	-9.147916
1020	"Student"	24	"Male"	"Bike"	38.72434	-9.120554
75	"Student"	22	"Male"	"PT"	38.77878	-9.097846
1717	"Student"	20	"Male"	"PT"	38.77219	-9.155787
1284	"Faculty"	40	"Male"	"Walk"	38.72498	-9.132364
243	"Student"	24	"Male"	"PT"	38.76259	-9.154006
338	"Student"	41	"Male"	"Car"	38.75797	-9.187435
1458	"Student"	18	"Male"	"Car"	38.77925	-9.161152
512	"Student"	21	"Male"	"PT"	38.78219	-9.147487
1796	"Student"	18	"Male"	"PT"	38.73519	-9.130802
1152	"Student"	29	"Female"	"PT"	38.7353	-9.122648
699	"Student"	19	"Female"	"Walk"	38.73601	-9.131179
383	"Student"	31	"Male"	"PT"	38.75721	-9.121814
1448	"Faculty"	65	"Male"	"PT"	38.76344	-9.153545
1208	"Student"	19	"Male"	"PT"	38.77972	-9.171591
490	"Student"	24	"Male"	"PT"	38.72789	-9.137648
619	"Student"	32	"Male"	"Car"	38.73579	-9.128848
405	"Student"	34	"Male"	"Walk"	38.72765	-9.130529
1819	"Student"	19	"Female"	"Walk"	38.73409	-9.135721
412	"Student"	24	"Male"	"Car"	38.76304	-9.11909
1715	"Student"	18	"Female"	"PT"	38.76582	-9.152683
7	"Student"	34	"Male"	"PT"	38.74442	-9.175733
200	"Faculty"	32	"Male"	"PT"	38.76766	-9.155467
1229	"Faculty"	29	"Male"	"Walk"	38.74124	-9.161288
218	"Faculty"	58	"Male"	"Walk"	38.74443	-9.141642
435	"Faculty"	50	"Male"	"Walk"	38.74697	-9.139631
157	"Faculty"	24	"Male"	"PT"	38.71739	-9.120445
420	"Faculty"	26	"Female"	"PT"	38.78175	-9.158693
1319	"Staff"	34	"Female"	"PT"	38.75194	-9.147526
1030	"Student"	21	"Male"	"Walk"	38.73458	-9.151357
1369	"Student"	47	"Female"	"Walk"	38.73073	-9.147956
137	"Student"	30	"Male"	"Bike"	38.69954	-9.191406
277	"Student"	24	"Female"	"Walk"	38.73573	-9.134737
1749	"Faculty"	49	"Male"	"Car"	38.74459	-9.153675
1664	"Student"	21	"Male"	"PT"	38.74974	-9.144672
470	"Student"	18	"Male"	"Walk"	38.73563	-9.132683
1472	"Student"	23	"Male"	"PT"	38.78256	-9.156736
1071	"Student"	19	"Male"	"PT"	38.76284	-9.160197
1774	"Student"	22	"Female"	"Walk"	38.73191	-9.136495
1582	"Student"	25	"Male"	"Car"	38.76017	-9.163103
763	"Student"	19	"Female"	"Walk"	38.73039	-9.134501
569	"Student"	18	"Male"	"Walk"	38.73711	-9.146585
1713	"Student"	18	"Male"	"PT"	38.75161	-9.204183
4	"Faculty"	51	"Male"	"Car"	38.75246	-9.169735
1496	"Student"	24	"Male"	"PT"	38.72679	-9.133841
1706	"Student"	18	"Male"	"Walk"	38.73569	-9.133553
886	"Student"	24	"Male"	"Car"	38.73844	-9.124534
1837	"Student"	20	"Male"	"PT"	38.75978	-9.1677
565	"Faculty"	34	"Male"	"Walk"	38.72882	-9.140439
1842	"Student"	20	"Male"	"PT"	38.78303	-9.115912
1614	"Student"	24	"Male"	"Walk"	38.71131	-9.137912
1123	"Student"	19	"Female"	"PT"	38.73273	-9.149231
500	"Faculty"	36	"Male"	"Car"	38.74796	-9.104158
432	"Staff"	35	"Male"	"Walk"	38.7357	-9.150733
928	"Student"	22	"Male"	"Bike"	38.74756	-9.153386
1116	"Faculty"	67	"Male"	"Car"	38.73914	-9.120792
71	"Student"	24	"Female"	"PT"	38.77292	-9.153152
1725	"Faculty"	61	"Male"	"Walk"	38.75034	-9.134777
97	"Student"	22	"Female"	"Walk"	38.7355	-9.128917
1726	"Student"	18	"Female"	"PT"	38.75488	-9.200673
652	"Student"	19	"Male"	"Walk"	38.73937	-9.134179
300	"Faculty"	34	"Male"	"Car"	38.71054	-9.132969
173	"Student"	19	"Female"	"Walk"	38.7463	-9.137516
1640	"Student"	20	"Male"	"Walk"	38.72638	-9.135433
33	"Student"	19	"Female"	"PT"	38.7342	-9.156388
326	"Student"	25	"Female"	"Walk"	38.73125	-9.142478
282	"Faculty"	49	"Female"	"Car"	38.7699	-9.10087
872	"Faculty"	54	"Male"	"Walk"	38.74199	-9.137993
1230	"Student"	19	"Male"	"Walk"	38.74181	-9.146561
