"Destination_mun","Total","Walk","Bike","Car","PTransit","Other","Active"
"Alcochete",20478,6833,320,12484,833,7,7153
"Almada",567,0,0,353,0,214,0
"Amadora",188,0,0,107,81,0,0
"Barreiro",867,0,0,861,5,0,0
"Cascais",114,0,0,114,0,0,0
"Lisboa",2840,69,0,1994,775,0,69
"Loures",634,0,0,634,0,0,0
"Moita",261,0,0,256,5,0,0
"Montijo",8714,130,91,7062,1431,0,221
"Odivelas",129,0,0,129,0,0,0
"Oeiras",130,0,0,130,0,0,0
"Palmela",553,11,0,299,243,0,11
"Seixal",118,0,0,58,0,60,0
"Sesimbra",79,0,0,79,0,0,0
"Setúbal",453,0,0,296,157,0,0
"Sintra",573,0,0,524,25,24,0
"Vila Franca de Xira",91,0,0,91,0,0,0
"Alcochete",761,0,0,498,49,214,0
"Almada",197248,60007,257,106852,27342,2791,60264
"Amadora",1726,0,0,1331,393,0,0
"Barreiro",1993,0,0,1972,21,0,0
"Cascais",765,0,2,647,116,0,2
"Lisboa",37180,370,218,23131,12322,1145,588
"Loures",1369,0,19,876,475,0,19
"Mafra",15,0,0,15,0,0,0
"Moita",464,0,0,225,239,0,0
"Montijo",848,0,0,738,110,0,0
"Odivelas",1133,0,0,1075,58,0,0
"Oeiras",1854,0,0,1372,428,53,0
"Palmela",538,0,0,511,21,6,0
"Seixal",36018,3005,65,28500,3811,639,3070
"Sesimbra",2957,0,0,2611,216,130,0
"Setúbal",2920,0,0,2528,283,110,0
"Sintra",1278,0,0,536,731,12,0
"Vila Franca de Xira",767,0,0,685,72,10,0
"Alcochete",190,0,0,108,81,0,0
"Almada",3207,0,0,2810,396,0,0
"Amadora",198980,108622,0,76436,13723,200,108622
"Barreiro",212,0,0,141,71,0,0
"Cascais",3079,0,0,2957,113,9,0
"Lisboa",67532,2339,103,40353,24353,381,2442
"Loures",6079,0,0,5334,489,258,0
"Mafra",517,0,0,488,28,0,0
"Moita",16,0,0,16,0,0,0
"Montijo",365,0,0,365,0,0,0
"Odivelas",11166,1120,0,8415,1630,0,1120
"Oeiras",15385,768,516,11308,2757,35,1284
"Palmela",131,0,0,131,0,0,0
